no,Station,lon,lat
1,Quỳ Châu,105.01,19.59
2,Nghĩa Khánh,105.4,19.24
3,Mường Xén,104.11,19.41
4,Con Cuông,104.88,19.05
5,Thạch Giám,104.33,19.28
6,Dừa,105.03,18.99
7,Thủy văn Đô Lương,105.3,18.92
8,Yên Thượng,105.43,18.68
9,Nam Đàn,105.49,18.7
10,Chợ Tràng,105.63,18.57
11,Cửa Hội,105.74,18.76
12,Linh Cảm,105.56,18.53
13,Hòa Duyệt,105.61,18.37
14,Sơn Diệm,105.37,18.51
15,Chu Lễ,105.7,18.22
16,Quỳ Châu cũ,105.16,19.55
17,Vinh,105.7,18.67
18,Khí tượng Đô Lương,105.3,18.9
19,Hương Sơn,105.43,18.5
20,Hương Khê,105.72,18.18
21,Quỳnh Lưu,105.64,19.14
22,Tương Dương,104.47,19.26
23,Hòn Ngư,105.78,18.8
24,Vũ Quang,105.5,18.38
25,Hà Tĩnh,105.9,18.34
26,Khe Bố,104.66,19.19
27,Cửa Rào,104.48,19.26
28,Thạch Đồng,105.9,18.39
29,Tây Hiếu,105.42,19.33
30,Quế Phong,104.9,19.6
31,Sốp Láp (19),103.6,20.03
32,Na Nhông (12),103.67,19.58
33,Lan Xiêng (17),103.87,19.95
34,Trạm đập Hố Hô,105.82,18.03
35,Mường Pơn (20),103.87,20.2
36,Trạm đồn biên phòng,105.37,18.28
37,Tham Xai (10),103.98,19.48
38,Bac Son,105.81,18.32
39,Cua Hoi,105.74,18.75
40,Cua Hoi,105.74,18.75
41,Huyen Yen Thanh ,105.42,19.04
42,My Loc,105.75,18.38
43,Nga Mi 1,104.63,19.36
44,Tan Ky,105.47,19.11
45,Vuon Quoc gia Ben En,105.54,19.62
46,Xuan Le,105.21,19.79
47,Xuan Loc,105.29,19.78
48,Dau Lieu,105.72,18.51
49,Do Dao,105.59,18.87
50,Ho chua nuoc Cu Lay,105.8,18.5
51,Ke Go,105.94,18.24
52,Minh Thanh,105.39,18.95
53,Phuc Thanh,105.4,18.95
54,Quan Hanh,105.64,18.79
55,Son Loc,105.79,18.39
56,Tan Ky,105.26,19.06
57,Tan Ky 1,105.07,19.09
58,Tan Thanh,105.41,19.76
59,Thach Dien,105.9,18.27
60,Thach Xuan,105.86,18.3
61,Thanh Hoa,105.84,17.98
62,Thong Thu,104.95,19.85
63,Thuy Dien Hua Na,105.08,19.84
64,Yen Cat,105.53,19.67
65,Phôn Kham (14),103.53,19.53
66,Cẩm Nhượng,106.1,18.25
67,Hoành Sơn,106.45,17.95
68,Đồng Tâm,106.02,17.9
69,Đầu mối ngàn trươi,105.48,18.38
70,Qùy Hợp,105.18,19.32
71,Bản Giàng,105.68,18.07
72,Sốp Lao (18),103.72,20.02
73,Nậm Nơn (21),103.4,20.22
74,Hữu Khuông (2),104.64,19.53
75,Mỹ Lý (8,104.31,19.61
76,Mai Sơn (3),104.43,19.6
77,Phà Bún (6),104.26,19.54
78,Sa Van (4),104.38,19.44
79,NaKhamPheng (15),103.4,19.55
80,Trạm đập 575,105.62,18.07
81,Pắc Khai Tai (11),103.8,19.6
82,Bac Ly,104.27,19.59
83,Ban Cha Lum ,104.71,19.4
84,Binh Chuan,104.9,19.23
85,Cau Treo,105.16,18.39
86,Cau Treo,105.27,18.65
87,Chau Khe,104.78,19.11
88,Chau Phong,105.03,19.45
89,Cho Trang,105.65,18.58
90,Coc Na,105.08,19.02
91,Con Cuong,104.86,19.06
92,Con Cuong,104.88,19.05
93,Con Cuong,104.88,19.05
94,Da Son,105.31,18.88
95,Do Luong,105.31,18.9
96,Don Bien phong 571,105.58,18.18
97,Don Phuc,104.87,19.15
98,Dong Hieu,105.5,19.3
99,Dong Van,105.19,19.2
100,Dua,105.04,18.99
101,Duc Bong,105.54,18.42
102,Duc Long,105.59,18.5
103,Hanh Lam ,105.27,18.7
104,Ho Da Han ,105.58,18.26
105,Hoa Hai,105.17,18.67
106,Hong Son ,105.29,18.96
107,Hung Nguyen,105.63,18.66
108,Huong Dien ,105.41,18.43
109,Huong Giang,105.72,18.22
110,Huong Khe,105.7,18.18
111,Huong Lam,105.66,18.05
112,Huong Phu,105.86,18.03
113,Huong Quang,105.57,18.43
114,Huong Quang ,105.54,18.33
115,Huong Son,105.42,18.51
116,Huong Tho,105.58,18.35
117,Huong Trach,105.17,18.67
118,Huong Vinh,105.68,18.18
119,Huong Vinh,105.64,18.16
120,Huu Lap,104.28,19.6
121,Huyen Ky Son,104.15,19.4
122,Khe Bo,104.67,19.17
123,Khe La,105.33,19.08
124,Khe Na,104.73,19.04
125,La Khe,105.79,18.1
126,Luan Mai,104.5,19.55
127,Luu Kien,104.36,19.27
128,Moc Son,105.1,18.93
129,Mon Son,104.94,18.94
130,Muong Long,104.34,19.53
131,Muong Long,104.34,19.53
132,Muong Long,104.34,19.53
133,Muong Tip,103.95,19.33
134,Muong Xen,104.14,19.4
135,My Son,105.41,18.8
136,Na Ngoi,104.18,19.25
137,Nam Giai,104.82,19.66
138,Nam Son,105.05,19.39
139,Nam Thanh,105.5,18.75
140,Nong truong 1/5,105.51,19.4
141,Nong truong 3/2,105.29,19.38
142,Phu Gia,105.66,18.18
143,Que Phong,104.92,19.62
144,Quy Chau,105.09,19.55
145,Quy Hop,105.19,19.32
146,Quy Hop ,105.17,19.32
147,Son Hong,105.15,18.58
148,Son Kim,105.17,18.67
149,Son Kim 1 ,105.28,18.45
150,Son Kim 2,105.3,18.44
151,Son Lam,105.36,18.55
152,Son Nam Chau Ly,105.13,19.25
153,Son Tay,105.32,18.48
154,Son Tay,105.33,18.49
155,Son Truòng,105.44,18.47
156,Tam Hop,105.26,19.36
157,Tam Hop,104.45,19.17
158,Tan Ky ,105.26,19.06
159,Tay Hieu,105.41,19.32
160,Thac Muoi,105.18,18.86
161,Thanh Huong,105.23,18.75
162,Thanh Mai,105.38,18.65
163,Thanh Quan,105.24,19.65
164,Thanh Thuy(My),105.21,18.82
165,Thanh Thuy ,105.29,18.67
166,Thuy dien Chau Tháng,105,19.6
167,Chu Le,105.7,18.23
168,Do Luong,105.29,18.9
169,Hoa Duyet,105.59,18.4
170,Linh Cam,105.56,18.53
171,Nam Dan,105.5,18.7
172,Nam Dan,105.29,18.41
173,Son Diem,105.37,18.51
174,Thach Giam,104.47,19.27
175,Con Cuong,104.88,19.05
176,Do Luong HL,105.29,18.95
177,Quy Chau,105.09,19.55
178,Tuong Duong,104.47,19.27
179,Van phong dieu hanh,104.48,19.33
180,Vinh,105.69,18.68
181,Vinh ,105.68,18.67
182,Xa Chau Hoan,104.95,19.47
183,Xa Keng Du,104.11,19.62
184,Xa Keng Du,104.11,19.62
185,Xa Na Loi,104.16,19.53
186,Xuan Quy,105.39,19.63
187,Yen Na,104.54,19.33
188,Yen Thuong,105.44,18.69
189,Yen Tinh,104.64,19.37
190,Yen Thuong,105.37,18.73
191,Tha Lin (16),103.45,19.42
192,Kỳ Anh,106.28,18.08
193,Tuyên Hóa,106.02,17.88
194,Bai Thuong,105.38,19.9
195,Bai Thuong,105.38,19.9
196,Bat Mot,105.05,20.03
197,Cam Nhuong,106.11,18.24
198,Cam Xuyen,106.02,18.23
199,Cao Quang ,106.15,17.76
200,Chau Binh,105.05,20.07
201,Chau Kim,105.46,19.98
202,Chi cuc Thuy loi ,105.89,18.35
203,Chuoi,105.66,19.63
204,Chuoi,105.66,19.63
205,Cua Dat,105.3,19.88
206,Cua Dat,105.3,19.88
207,Cuong Gian,105.46,18.56
208,Dai Loc,105.79,18.45
209,Dan Hoa,105.78,17.8
210,Do Diem,105.87,18.42
211,Dung Quat,106.02,17.9
212,Giao Thien,105.26,20.02
213,Giàng,105.76,19.88
214,Ha Tinh,105.9,18.34
215,Ho Be,106.19,17.82
216,Ho chua nuoc Kim Son ,106.27,18.01
217,Hong Trung,105.81,17.89
218,Ky Anh,106.29,18.09
219,Ky Lac,106.24,17.97
220,Ky Thuong,106.12,18.05
221,Ky Thuong ,106.13,18.02
222,Ky Trinh,106.03,18.08
223,Lang Chanh,105.24,20.15
224,Lang Chanh,105.24,20.15
225,Loc Thinh,105.48,20.09
226,Luong Son,105.28,19.97
227,Ly Nhan,105.6,20.02
228,Ly Nhan,105.6,20.02
229,Mai Lam,105.75,19.38
230,Minh Hoa,106.19,17.81
231,Minh Long,105.97,17.81
232,Muong Lan,103.72,20.8
233,Na Meo,104.65,20.3
234,Nghia Khanh,105.67,19.39
235,Ngoc Lac,105.4,20.03
236,Ngoc Son,105.67,19.98
237,Ngoc Tra,105.78,19.61
238,Ngoc Tra,105.78,19.61
239,Nhu Xuan,105.57,19.63
240,Quang Chau,105.88,19.77
241,Quynh Luu,105.63,19.15
242,Quynh Luu,105.64,19.14
243,Sam Son,105.9,19.74
244,Sao Vang,105.42,19.88
245,Tam Van,105.15,20.2
246,Tan Hoa ,106.09,17.79
247,Tang Thanh,105.65,19.08
248,Thanh Hoa,105.78,19.76
249,Tho Binh,105.5,19.82
250,Thong Nhat,105.48,20.08
251,Thuy Dien Dong Van,105.13,19.89
252,Tien Phong,105.62,20.07
253,Tinh Gia,105.78,19.44
254,Tri Le,105.17,19.98
255,Trieu Son,105.61,19.83
256,Tuyen Hoa,106.02,17.89
257,Vinh o,105.97,17.71
258,Xuan Khanh,105.58,19.92
259,Xuan Khanh,105.58,19.92
260,Xuan Minh,105.55,19.97
261,Yen Dinh,105.66,19.98
262,Yen Nhan,105.13,20.03
263,Yen Nhan ,105.13,20.03
264,Yen Thang,105.07,20.15
265,Van Xuan,105.28,19.83
266,Ky Dong,106.24,18.18
267,Ky Hop,106.2,18.05
268,Lai Thanh,105.82,19.79
269,Muong Lan,103.71,20.8
270,Mỹ Lý,104.33,19.63
